x,y,z,entanglement
750,280,230,0
750,280,240,nan
750,280,250,nan
750,290,0,0
750,290,10,0.000463549
750,290,20,0.00845415
750,290,30,0.0124211
750,290,40,0.0167011
750,290,50,0.0669474
750,290,60,0.157711
750,290,70,0.24526
750,290,80,0.204807
750,290,90,0.226102
750,290,100,0.347213
750,290,110,0.336546
750,290,120,0.252988
750,290,130,0.226156
750,290,140,0.11763
750,290,150,0.126971
750,290,160,0.100336
750,290,170,0.0953028
750,290,180,0.0923076
750,290,190,0.0659984
750,290,200,0.0171939
750,290,210,0.0132612
750,290,220,0
750,290,230,0
750,290,240,nan
750,290,250,nan
750,300,0,0
750,300,10,0
750,300,20,0.00742703
750,300,30,0.0199247
750,300,40,0.0240991
750,300,50,0.0697808
750,300,60,0.0916828
750,300,70,0.15933
750,300,80,0.14633
750,300,90,0.146016
750,300,100,0.202365
750,300,110,0.241519
750,300,120,0.21327
750,300,130,0.163075
750,300,140,0.0820987
750,300,150,0.100782
750,300,160,0.0864142
750,300,170,0.0894815
750,300,180,0.0799994
750,300,190,0.0160508
750,300,200,0.0124665
750,300,210,0.00475748
750,300,220,0
750,300,230,0
750,300,240,nan
750,300,250,nan
750,310,0,0
750,310,10,0
750,310,20,0.0117502
750,310,30,0.0525914
750,310,40,0.0653882
750,310,50,0.106252
750,310,60,0.101988
750,310,70,0.135175
750,310,80,0.192698
750,310,90,0.138671
750,310,100,0.155429
750,310,110,0.205101
750,310,120,0.170065
750,310,130,0.0868251
750,310,140,0.0496702
750,310,150,0.0517463
750,310,160,0.0705607
750,310,170,0.0697272
750,310,180,0.0382187
750,310,190,0.0109675
750,310,200,0.00764479
750,310,210,0
750,310,220,0
750,310,230,0
750,310,240,nan
750,310,250,nan
750,320,0,0
750,320,10,0
750,320,20,0.0422326
750,320,30,0.0820134
750,320,40,0.0879543
750,320,50,0.138009
750,320,60,0.132707
750,320,70,0.149949
750,320,80,0.234325
750,320,90,0.119135
750,320,100,0.129809
750,320,110,0.212146
750,320,120,0.223447
750,320,130,0.153073
750,320,140,0.0730519
750,320,150,0.0382824
750,320,160,0.0400272
750,320,170,0.0264326
750,320,180,0.00607919
750,320,190,0.00434871
750,320,200,0
750,320,210,0
750,320,220,0
750,320,230,0
750,320,240,nan
750,320,250,nan
750,330,0,nan
750,330,10,0.0122467
750,330,20,0.0584612
750,330,30,0.0838941
750,330,40,0.0963967
750,330,50,0.114525
750,330,60,0.159394
750,330,70,0.208522
750,330,80,0.208282
750,330,90,0.115593
750,330,100,0.1953
750,330,110,0.250875
750,330,120,0.226682
750,330,130,0.161034
750,330,140,0.126196
750,330,150,0.0498112
750,330,160,0.0169416
750,330,170,0.000891372
750,330,180,0
750,330,190,0.00235467
750,330,200,0
750,330,210,0
750,330,220,0
750,330,230,0
750,330,240,nan
750,330,250,nan
750,340,0,nan
750,340,10,0.0304492
750,340,20,0.0670994
750,340,30,0.0948445
750,340,40,0.113423
750,340,50,0.114831
750,340,60,0.199888
750,340,70,0.253934
750,340,80,0.20965
750,340,90,0.228131
750,340,100,0.22597
750,340,110,0.259079
750,340,120,0.225044
750,340,130,0.183397
750,340,140,0.14536
750,340,150,0.028535
750,340,160,0.001924
750,340,170,0.00215337
750,340,180,0.0101734
750,340,190,0.0101734
750,340,200,0.00948187
750,340,210,0.00702167
750,340,220,0
750,340,230,nan
750,340,240,nan
750,340,250,nan
750,350,0,nan
750,350,10,0.0403633
750,350,20,0.0644424
750,350,30,0.135979
750,350,40,0.156641
750,350,50,0.19293
750,350,60,0.251811
750,350,70,0.376511
750,350,80,0.259112
750,350,90,0.295337
750,350,100,0.26197
750,350,110,0.243523
750,350,120,0.198117
750,350,130,0.168867
750,350,140,0.0896
750,350,150,0.00297608
750,350,160,0.00299802
750,350,170,0.00745754
750,350,180,0.0120855
750,350,190,0.0120855
750,350,200,0.0120855
750,350,210,0.0082684
750,350,220,0.00227857
750,350,230,nan
750,350,240,nan
750,350,250,nan
750,360,0,0.00446732
750,360,10,0.0319466
750,360,20,0.0972109
750,360,30,0.225184
750,360,40,0.283269
750,360,50,0.304614
750,360,60,0.496395
750,360,70,0.512903
750,360,80,0.415655
750,360,90,0.393532
750,360,100,0.348528
750,360,110,0.202975
750,360,120,0.16123
750,360,130,0.109695
750,360,140,0.000819864
750,360,150,0.00276546
750,360,160,0.00772252
750,360,170,0.0144944
750,360,180,0.0136231
750,360,190,0.0134444
750,360,200,0.0134444
750,360,210,0.00822738
750,360,220,0
750,360,230,0
750,360,240,nan
750,360,250,nan
750,370,0,0.00379019
750,370,10,0.0238161
750,370,20,0.2128
750,370,30,0.322274
750,370,40,0.350129
750,370,50,0.448655
750,370,60,0.699542
750,370,70,0.687844
750,370,80,0.689209
750,370,90,0.551458
750,370,100,0.406001
750,370,110,0.264731
750,370,120,0.148308
750,370,130,0.0413533
750,370,140,0
750,370,150,0.0014849
750,370,160,0.0133914
750,370,170,0.0179062
750,370,180,0.0130187
750,370,190,0.0138305
750,370,200,0.0122417
750,370,210,0.00517456
750,370,220,0
750,370,230,0
750,370,240,nan
750,370,250,nan
750,380,0,0.00111457
750,380,10,0.0390454
750,380,20,0.284301
750,380,30,0.343861
750,380,40,0.375968
750,380,50,0.631277
750,380,60,0.830306
750,380,70,0.85674
750,380,80,0.786096
750,380,90,0.601455
750,380,100,0.492391
750,380,110,0.350484
750,380,120,0.175986
750,380,130,0.0500422
750,380,140,0.00879822
750,380,150,0.00470812
750,380,160,0.0167157
750,380,170,0.0215207
750,380,180,0.0130772
750,380,190,0.0100315
750,380,200,0.00663236
750,380,210,0.00327316
750,380,220,0.00186576
750,380,230,0
750,380,240,0
750,380,250,nan
750,390,0,0
750,390,10,0.0523311
750,390,20,0.286825
750,390,30,0.330741
750,390,40,0.406632
750,390,50,0.759587
750,390,60,0.918918
750,390,70,0.892563
750,390,80,0.79437
750,390,90,0.605098
750,390,100,0.706529
750,390,110,0.476696
750,390,120,0.136261
750,390,130,0.0856754
750,390,140,0.0262599
750,390,150,0.029605
750,390,160,0.0193512
750,390,170,0.0184724
750,390,180,0.00746713
750,390,190,0.00746713
750,390,200,0.00619601
750,390,210,0.00619601
750,390,220,0.00321726
750,390,230,0
750,390,240,0
750,390,250,nan
750,400,0,0
750,400,10,0.0359562
750,400,20,0.201274
750,400,30,0.316054
750,400,40,0.471618
750,400,50,0.795193
750,400,60,0.889551
750,400,70,0.883839
750,400,80,0.712691
750,400,90,0.739925
750,400,100,0.764079
750,400,110,0.489136
750,400,120,0.138659
750,400,130,0.0982413
750,400,140,0.037869
750,400,150,0.0515256
750,400,160,0.062676
750,400,170,0.0192542
750,400,180,0.00814882
750,400,190,0.00814882
750,400,200,0.00814882
750,400,210,0.00715403
750,400,220,0.00557872
750,400,230,0
750,400,240,0
750,400,250,nan
750,410,0,0
750,410,10,0.00844654
750,410,20,0.108819
750,410,30,0.22172
750,410,40,0.425433
750,410,50,0.675574
750,410,60,0.771517
750,410,70,0.731786
750,410,80,0.625123
750,410,90,0.73611
750,410,100,0.730799
750,410,110,0.520177
750,410,120,0.150471
750,410,130,0.113206
750,410,140,0.0433949
750,410,150,0.065959
750,410,160,0.0818221
750,410,170,0.049545
750,410,180,0.00839312
750,410,190,0.00839312
750,410,200,0.00839312
750,410,210,0.00769485
750,410,220,0.00674742
750,410,230,0
750,410,240,0
750,410,250,nan
750,420,0,0
750,420,10,0
750,420,20,0.0258054
750,420,30,0.153557
750,420,40,0.263543
750,420,50,0.51848
750,420,60,0.55211
750,420,70,0.587876
750,420,80,0.546208
750,420,90,0.652635
750,420,100,0.666507
750,420,110,0.445792
750,420,120,0.153567
750,420,130,0.0837426
750,420,140,0.0408684
750,420,150,0.0802223
750,420,160,0.0962402
750,420,170,0.0521643
750,420,180,0.00821256
750,420,190,0.00821256
750,420,200,0.00821256
750,420,210,0.0077658
750,420,220,0.00711381
750,420,230,0
750,420,240,0
750,420,250,0
750,430,0,0
750,430,10,0
750,430,20,0.00792114
750,430,30,0.100823
750,430,40,0.209924
750,430,50,0.339687
750,430,60,0.413014
750,430,70,0.511893
750,430,80,0.501977
750,430,90,0.554045
750,430,100,0.467346
750,430,110,0.309192
750,430,120,0.129608
750,430,130,0.0559197
750,430,140,0.041574
750,430,150,0.0527921
750,430,160,0.0792956
750,430,170,0.047766
750,430,180,0.0198242
750,430,190,0.010339
750,430,200,0.0076511
750,430,210,0.00738577
750,430,220,0.0045874
750,430,230,0
750,430,240,0
750,430,250,0
750,440,0,0
750,440,10,0
750,440,20,6.26451e-05
750,440,30,0.0707311
750,440,40,0.142965
750,440,50,0.240056
750,440,60,0.317104
750,440,70,0.359449
750,440,80,0.358101
750,440,90,0.34965
750,440,100,0.331315
750,440,110,0.217684
750,440,120,0.10965
750,440,130,0.0358006
750,440,140,0.0358006
750,440,150,0.025986
750,440,160,0.0720117
750,440,170,0.0572587
750,440,180,0.0446582
750,440,190,0.014196
750,440,200,0.00617039
750,440,210,0.00463035
750,440,220,0.0025082
750,440,230,0
750,440,240,0
750,440,250,0
750,450,0,0
750,450,10,0
750,450,20,0.0332691
750,450,30,0.0511656
750,450,40,0.0999732
750,450,50,0.190386
750,450,60,0.267102
750,450,70,0.281353
750,450,80,0.263784
750,450,90,0.28704
750,450,100,0.241111
750,450,110,0.168444
750,450,120,0.100411
750,450,130,0.0365826
750,450,140,0.025272
750,450,150,0.0161607
750,450,160,0.0384465
750,450,170,0.0540479
750,450,180,0.0348154
750,450,190,0.0143724
750,450,200,0.0073059
750,450,210,0.00245257
750,450,220,0.00126764
750,450,230,0
750,450,240,0
750,450,250,nan
750,460,0,0
750,460,10,0
750,460,20,0.0468874
750,460,30,0.0630094
750,460,40,0.116189
750,460,50,0.274123
750,460,60,0.276136
750,460,70,0.299515
750,460,80,0.264247
750,460,90,0.249644
750,460,100,0.227941
750,460,110,0.104082
750,460,120,0.0906956
750,460,130,0.0350496
750,460,140,0.0100746
750,460,150,0.0146862
750,460,160,0.0305354
750,460,170,0.0377597
750,460,180,0.028644
750,460,190,0.0113742
750,460,200,0.00743853
750,460,210,0.00105953
750,460,220,0.000356342
750,460,230,0
750,460,240,0
750,460,250,nan
750,470,0,0
750,470,10,0.00770644
750,470,20,0.044713
750,470,30,0.0642723
750,470,40,0.180332
750,470,50,0.350372
750,470,60,0.405833
750,470,70,0.303198
750,470,80,0.254163
750,470,90,0.174803
750,470,100,0.214222
750,470,110,0.142194
750,470,120,0.0832627
750,470,130,0.0218328
750,470,140,0.0046189
750,470,150,0.0159986
750,470,160,0.0158314
750,470,170,0.0223938
750,470,180,0.0102523
750,470,190,0.00988971
750,470,200,0.00732343
750,470,210,0.000263016
750,470,220,6.52129e-05
750,470,230,0
750,470,240,nan
750,470,250,nan
750,480,0,0.00251186
750,480,10,0.0129604
750,480,20,0.0359426
750,480,30,0.0553001
750,480,40,0.270363
750,480,50,0.384516
750,480,60,0.395641
750,480,70,0.373816
750,480,80,0.281057
750,480,90,0.235221
750,480,100,0.251874
750,480,110,0.214025
750,480,120,0.147158
750,480,130,0.0441667
750,480,140,0.0225865
750,480,150,0.0227549
750,480,160,0.0178697
750,480,170,0.014183
750,480,180,0.00601546
750,480,190,0.00771692
750,480,200,0.00478204
750,480,210,0.00165846
750,480,220,nan
750,480,230,nan
750,480,240,nan
750,480,250,nan
750,490,0,0.00329993
750,490,10,0.00801353
750,490,20,0.0266398
750,490,30,0.0456863
750,490,40,0.316349
750,490,50,0.376009
750,490,60,0.38175
750,490,70,0.439125
750,490,80,0.415928
750,490,90,0.33569
750,490,100,0.321564
750,490,110,0.27324
750,490,120,0.168508
750,490,130,0.101512
750,490,140,0.0416948
750,490,150,0.0385862
750,490,160,0.0211701
750,490,170,0.0112532
750,490,180,0.00637153
750,490,190,0.00565042
750,490,200,0.0043723
750,490,210,0.00114989
750,490,220,nan
750,490,230,nan
750,490,240,nan
750,490,250,nan
750,500,0,0.00227861
750,500,10,0.00519347
750,500,20,0.01883
750,500,30,0.0254404
750,500,40,0.236161
750,500,50,0.355037
750,500,60,0.347353
750,500,70,0.509884
750,500,80,0.461079
